component,current_km,current_months,condition_metric_value,health_status
Rear Brake Pad,52793.05,33.1,7.39,0
Front Brake Pad,31579.07,15.1,1.6,2
Gearbox Filter,55270.36,14.86,15.23,1
Front Brake Pad,60566.58,4.9,2.25,2
Gearbox Filter,35059.78,49.78,72.98,2
CVT/AT Oil,27294.4,19.4,35.13,2
Spark Plug,19495.23,43.25,3.68,0
Gearbox Filter,85717.86,59.31,50.51,2
Rear Brake Pad,33734.75,13.19,3.88,0
Spark Plug,83551.62,3.8,6.13,2
Rear Brake Pad,53349.51,48.39,0.98,2
CVT/AT Oil,35799.77,15.52,71.1,0
Rear Brake Pad,35694.55,27.39,8.96,0
Rear Brake Pad,71302.56,51.92,3.84,2
CVT/AT Oil,24846.54,33.16,25.62,2
Front Brake Pad,41256.97,33.6,1.76,2
Ignition Coil,26794.22,85.66,7.21,2
Ignition Coil,63445.58,18.74,4.48,0
Rear Brake Pad,38154.35,30.06,1.92,2
Front Brake Pad,27040.19,6.92,2.44,2
Ignition Coil,43166.1,96.32,11.65,2
CVT/AT Oil,26983.64,15.04,113.18,0
Gearbox Filter,43064.18,38.71,51.65,0
CVT/AT Oil,24646.63,47.35,63.3,2
Rear Brake Pad,30516.92,30.54,2.62,2
Front Brake Pad,31594.42,7.83,3.01,0
Gearbox Filter,46808.09,28.85,54.75,0
Gearbox,5999.4,6.57,47.81,2
Rear Brake Pad,59868.37,38.49,7.94,2
Spark Plug,20554.87,69.52,3.95,2
Gearbox Filter,56093.18,47.97,57.38,1
Ignition Coil,53297.03,54.17,10.4,2
Rear Brake Pad,43970.5,6.15,0.76,2
Ignition Coil,14437.39,81.12,1.69,2
Spark Plug,79190.92,37.27,1.26,1
Front Brake Pad,32873.54,15.31,3.83,0
Spark Plug,104879.76,63.88,0.08,2
Gearbox Filter,17694.07,61.97,15.4,2
Spark Plug,103664.01,42.93,4.31,2
Spark Plug,69838.5,48.2,2.44,2
Gearbox,4386.04,3.62,68.82,2
Ignition Coil,89968.01,41.86,7.36,0
Front Brake Pad,63582.33,24.53,5.81,2
Gearbox Filter,38375.09,67.64,45.0,2
Gearbox,6005.91,0.11,11.28,0
Gearbox,12010.39,4.07,73.57,2
Rear Brake Pad,49800.03,3.99,2.57,2
CVT/AT Oil,37303.03,3.51,63.62,1
Front Brake Pad,19077.23,24.24,0.17,2
Front Brake Pad,13944.77,3.98,7.47,0
Ignition Coil,38866.61,95.52,1.02,2
Gearbox,469.83,1.07,28.07,0
Spark Plug,50491.22,50.88,7.3,2
Ignition Coil,102549.49,57.64,5.43,0
Gearbox Filter,2486.68,59.32,20.94,2
Front Brake Pad,9204.68,21.22,5.11,0
Front Brake Pad,42142.65,8.55,4.53,1
Front Brake Pad,58600.02,4.65,5.7,2
Front Brake Pad,10857.61,22.78,0.47,2
Spark Plug,87342.7,13.23,3.84,2
Front Brake Pad,29948.28,30.62,0.69,2
Rear Brake Pad,85038.81,0.33,4.18,2
Gearbox,11676.31,4.89,74.91,2
Front Brake Pad,7443.68,13.81,8.46,0
Ignition Coil,156171.4,39.58,0.52,2
Rear Brake Pad,55431.43,42.64,7.31,2
Ignition Coil,42594.61,94.7,9.83,2
Spark Plug,19312.44,13.05,4.24,0
Gearbox Filter,76197.97,29.86,3.8,2
Spark Plug,76648.71,60.99,4.05,2
Rear Brake Pad,22186.47,30.44,7.31,0
Ignition Coil,171592.63,72.94,6.59,2
Front Brake Pad,29198.76,9.19,7.96,0
Rear Brake Pad,22928.29,16.47,3.24,0
Front Brake Pad,20210.36,11.64,2.34,2
CVT/AT Oil,32240.09,23.98,76.13,0
Spark Plug,65669.53,39.12,7.32,2
Front Brake Pad,56674.65,15.34,5.8,2
Rear Brake Pad,75098.06,8.11,5.93,2
Gearbox Filter,83487.45,29.33,104.88,2
Front Brake Pad,9471.79,13.36,6.35,0
Gearbox,487.22,7.39,24.82,2
Ignition Coil,51879.16,20.99,11.69,2
Ignition Coil,41956.93,83.5,1.05,2
Rear Brake Pad,82322.62,36.42,3.63,2
Spark Plug,105913.73,68.0,0.75,2
Gearbox Filter,56285.79,58.82,68.62,2
Front Brake Pad,17108.12,12.83,1.72,2
Ignition Coil,87118.34,75.8,2.73,2
CVT/AT Oil,21494.5,5.35,90.97,0
Front Brake Pad,27089.47,6.93,3.2,0
Gearbox Filter,77625.09,58.31,13.44,2
Ignition Coil,29540.6,5.89,3.96,0
CVT/AT Oil,21128.31,23.15,98.9,0
Gearbox Filter,69683.45,51.31,66.67,2
Rear Brake Pad,1637.96,43.32,8.52,2
Spark Plug,26761.52,37.85,0.68,0
Spark Plug,69814.95,37.59,2.48,0
Gearbox,9822.17,6.16,83.92,2
Rear Brake Pad,3905.7,3.59,4.97,0
Spark Plug,43415.96,12.29,6.5,2
Rear Brake Pad,83239.42,45.78,3.39,2
Front Brake Pad,1834.25,9.48,6.39,0
Gearbox,14067.25,0.04,79.69,2
Gearbox Filter,41514.35,34.02,35.79,0
Front Brake Pad,47026.17,19.41,4.59,2
Ignition Coil,109934.73,77.31,9.14,2
Rear Brake Pad,73481.77,16.22,3.91,2
Front Brake Pad,16298.84,2.24,1.62,2
Front Brake Pad,61754.29,5.05,4.84,2
Rear Brake Pad,18504.44,29.39,7.24,0
Rear Brake Pad,35610.29,10.18,5.05,0
Gearbox Filter,50557.99,47.55,87.51,2
Gearbox Filter,75752.26,15.79,77.09,2
Gearbox Filter,56409.93,39.85,100.92,2
Front Brake Pad,6291.94,1.65,1.0,2
Ignition Coil,167282.73,36.29,0.81,2
Spark Plug,112219.44,68.75,7.19,2
CVT/AT Oil,18343.38,19.73,47.63,0
Gearbox Filter,50281.33,61.2,104.58,2
Ignition Coil,27558.45,80.2,4.28,2
Gearbox Filter,45820.23,40.0,86.62,2
Ignition Coil,41706.12,58.52,2.64,0
CVT/AT Oil,8898.1,46.19,81.02,2
Spark Plug,101330.76,45.47,0.59,2
Ignition Coil,83256.29,33.86,7.98,0
Ignition Coil,137077.48,75.19,2.87,2
Ignition Coil,141104.97,96.9,5.27,2
CVT/AT Oil,16656.75,30.8,30.06,2
Ignition Coil,48684.44,5.04,5.19,0
Ignition Coil,130764.88,22.41,5.2,2
Spark Plug,32631.54,27.66,5.51,2
Spark Plug,28191.5,7.22,1.11,0
Spark Plug,47836.12,24.42,3.27,0
Gearbox Filter,15279.92,41.81,50.79,0
Gearbox,4733.6,8.92,38.83,2
Ignition Coil,38064.66,28.7,1.14,0
Front Brake Pad,63972.9,4.63,0.31,2
Front Brake Pad,21969.16,24.06,6.45,2
Rear Brake Pad,22356.5,36.98,1.68,2
Ignition Coil,172581.6,93.13,2.01,2
Spark Plug,16516.68,30.14,6.38,2
CVT/AT Oil,32370.39,37.31,50.56,2
Gearbox Filter,15700.19,25.41,39.43,0
Gearbox,3529.88,5.02,86.12,2
Gearbox Filter,36406.48,20.99,24.61,0
Ignition Coil,170088.49,88.97,7.66,2
Front Brake Pad,21859.85,7.92,8.74,0
Rear Brake Pad,75431.93,16.91,5.13,2
Spark Plug,25613.75,38.62,6.27,2
Rear Brake Pad,23613.26,38.02,1.59,2
Gearbox Filter,83871.24,36.92,32.1,2
Gearbox Filter,16790.21,45.82,52.51,0
CVT/AT Oil,11858.87,25.9,106.51,0
Spark Plug,33655.26,48.51,6.96,2
Ignition Coil,118643.38,5.46,5.92,1
Spark Plug,78189.47,59.92,3.44,2
Gearbox Filter,28012.07,36.71,90.62,2
Gearbox Filter,80417.7,67.6,81.95,2
Spark Plug,47130.02,25.67,6.25,2
Front Brake Pad,3735.58,29.16,8.86,2
CVT/AT Oil,33298.52,15.95,23.72,2
Gearbox,7525.54,8.11,23.48,2
CVT/AT Oil,51253.22,5.53,15.78,2
Front Brake Pad,2399.75,35.91,7.85,2
Ignition Coil,46334.02,41.2,4.27,0
Ignition Coil,5789.25,96.75,7.82,2
Front Brake Pad,176.0,22.62,5.3,0
Ignition Coil,44486.11,1.9,7.43,0
Ignition Coil,102089.62,97.13,11.64,2
Gearbox Filter,84641.72,24.17,55.64,2
Ignition Coil,14304.9,53.36,4.33,0
Gearbox Filter,54662.07,13.33,65.83,0
Gearbox Filter,66031.96,26.35,42.47,2
Spark Plug,112563.38,52.13,4.13,2
Spark Plug,57728.06,3.3,0.05,0
Rear Brake Pad,25169.53,32.93,6.18,0
Spark Plug,31986.01,24.83,4.87,0
Rear Brake Pad,80601.43,19.15,8.56,2
Ignition Coil,38698.6,4.01,1.69,0
Front Brake Pad,4822.09,26.15,4.6,2
Gearbox Filter,79109.31,54.34,98.01,2
Gearbox,10957.98,2.49,64.32,2
Ignition Coil,143444.08,37.42,9.29,2
Rear Brake Pad,61732.04,30.25,1.83,2
Rear Brake Pad,26190.3,28.11,3.52,0
Spark Plug,46563.31,35.4,2.21,0
Front Brake Pad,29403.44,13.61,6.73,0
CVT/AT Oil,22622.13,0.44,91.04,0
Rear Brake Pad,34882.35,31.12,7.48,0
Gearbox Filter,58282.43,0.26,26.64,1
CVT/AT Oil,10318.22,22.72,99.94,0
Rear Brake Pad,48918.25,28.39,2.63,2
CVT/AT Oil,1649.57,3.49,88.06,0
Gearbox Filter,59200.06,41.84,55.64,1
Gearbox,3524.23,3.98,13.99,0
Gearbox Filter,89970.27,27.99,40.63,2
Spark Plug,3212.47,6.62,5.14,2
Front Brake Pad,12967.27,28.56,0.31,2
CVT/AT Oil,37002.74,5.06,93.71,1
Gearbox,3229.09,2.51,21.69,0
CVT/AT Oil,56673.62,23.99,79.39,2
Spark Plug,53452.04,51.28,2.82,2
Gearbox,11771.03,7.33,83.46,2
CVT/AT Oil,13559.21,35.45,19.71,2
Gearbox,9703.93,4.99,60.02,2
Front Brake Pad,53753.34,11.98,5.33,2
Ignition Coil,153834.52,20.99,1.94,2
Rear Brake Pad,4171.79,29.68,4.2,0
CVT/AT Oil,57975.22,52.59,4.69,2
CVT/AT Oil,59844.9,50.89,80.51,2
Rear Brake Pad,77522.64,44.88,2.54,2
Gearbox,4765.96,8.92,38.01,2
Spark Plug,47241.14,21.8,3.45,0
Gearbox Filter,77832.34,28.11,40.04,2
Rear Brake Pad,27376.42,25.33,7.86,0
Ignition Coil,166386.97,71.47,10.64,2
Gearbox,8738.28,4.98,77.34,2
CVT/AT Oil,20884.56,6.02,84.5,0
Spark Plug,25973.17,57.81,3.0,2
Gearbox,11384.8,0.82,46.33,2
Gearbox,8762.43,6.64,28.45,2
Gearbox,6069.83,3.86,20.41,0
Gearbox,14097.27,3.56,64.65,2
Rear Brake Pad,84017.19,28.44,4.84,2
CVT/AT Oil,35546.59,5.38,119.42,0
Front Brake Pad,45370.04,5.53,1.2,2
Ignition Coil,139306.51,104.96,4.31,2
Gearbox,14162.62,1.53,0.86,2
Rear Brake Pad,81800.01,44.37,8.75,2
Rear Brake Pad,79126.64,24.67,3.7,2
CVT/AT Oil,36360.6,19.4,6.89,2
Gearbox Filter,16802.91,14.28,49.61,0
Spark Plug,23873.97,53.53,6.64,2
Gearbox Filter,61535.76,16.45,44.42,2
Gearbox Filter,67157.14,71.29,104.98,2
Gearbox Filter,67204.94,7.91,44.59,2
Gearbox,3786.14,1.03,12.68,0
Ignition Coil,152119.31,65.03,5.45,2
Front Brake Pad,33564.07,1.46,8.04,0
Rear Brake Pad,37605.79,30.23,0.2,2
Rear Brake Pad,59492.44,35.72,7.63,1
Rear Brake Pad,63451.55,14.29,2.0,2
CVT/AT Oil,30764.19,25.69,77.41,0
CVT/AT Oil,22880.22,10.0,42.64,0
Gearbox,9642.05,4.68,61.36,2
Gearbox,2162.45,7.86,25.58,2
Spark Plug,65608.43,40.1,5.43,2
Ignition Coil,36323.92,7.62,9.27,2
Spark Plug,21629.52,1.12,1.58,0
Ignition Coil,157743.38,47.93,3.42,2
Gearbox Filter,67017.67,54.57,104.77,2
Spark Plug,10798.27,20.63,7.29,2
Front Brake Pad,8676.85,22.4,0.5,2
CVT/AT Oil,18914.32,50.83,101.94,2
CVT/AT Oil,32054.91,16.27,34.2,2
Ignition Coil,103180.13,106.26,3.49,2
Ignition Coil,155363.56,48.44,4.36,2
Rear Brake Pad,15171.22,34.1,0.77,2
Front Brake Pad,54619.74,12.26,3.5,2
Rear Brake Pad,85140.2,38.44,6.67,2
CVT/AT Oil,34877.58,40.9,31.93,2
Rear Brake Pad,22222.48,52.77,7.17,2
CVT/AT Oil,9080.48,42.41,14.65,2
Spark Plug,27370.66,22.83,1.6,0
Gearbox,4714.72,0.76,41.81,0
Gearbox Filter,19949.75,15.83,99.46,2
Front Brake Pad,28125.09,7.89,6.49,0
Front Brake Pad,14308.75,12.25,2.86,2
CVT/AT Oil,15012.27,11.14,16.31,2
Front Brake Pad,61392.98,29.8,1.47,2
Ignition Coil,118225.35,84.81,6.59,2
Gearbox Filter,58842.42,6.84,33.48,1
Gearbox,6742.2,7.74,11.76,2
CVT/AT Oil,4726.92,14.95,29.87,2
Spark Plug,38184.82,10.5,7.16,2
Gearbox,12305.18,1.66,41.82,2
Gearbox Filter,69705.37,67.51,14.87,2
Spark Plug,94871.06,35.29,0.65,2
Front Brake Pad,51216.55,6.87,5.11,2
Gearbox,13406.81,2.31,21.62,2
CVT/AT Oil,56260.93,21.9,68.25,2
CVT/AT Oil,12443.92,50.01,25.88,2
Front Brake Pad,20048.87,27.67,3.85,2
Spark Plug,85094.86,6.1,5.56,2
CVT/AT Oil,3114.67,45.21,112.57,2
Spark Plug,91460.53,63.11,6.39,2
Ignition Coil,47251.74,80.52,11.73,2
Ignition Coil,161040.17,1.26,11.59,2
Rear Brake Pad,53705.19,21.01,8.01,0
Gearbox Filter,24431.46,21.0,12.94,0
CVT/AT Oil,27872.02,22.9,101.97,0
Rear Brake Pad,22882.72,13.99,4.4,0
Gearbox Filter,85575.75,60.66,40.73,2
Gearbox,14606.22,3.57,53.91,2
Ignition Coil,88282.71,8.0,0.42,0
Rear Brake Pad,666.31,44.11,4.65,2
Spark Plug,119148.42,28.49,4.68,2
CVT/AT Oil,49892.1,25.03,88.5,2
Gearbox,14694.21,8.82,34.03,2
Rear Brake Pad,38365.28,7.07,6.29,0
Gearbox Filter,12191.28,59.2,96.8,2
Gearbox Filter,52507.39,70.92,10.11,2
CVT/AT Oil,9617.61,11.37,33.95,2
Ignition Coil,94371.48,44.09,3.72,0
Rear Brake Pad,82236.21,44.98,2.28,2
Gearbox Filter,45038.09,1.03,94.91,2
CVT/AT Oil,19346.48,30.74,62.14,0
Front Brake Pad,59549.34,14.48,0.6,2
Spark Plug,108869.65,19.01,2.11,2
CVT/AT Oil,29136.5,25.17,78.55,0
Rear Brake Pad,70740.04,38.42,1.33,2
Spark Plug,1613.29,14.73,5.12,2
Ignition Coil,45532.89,73.8,8.69,2
Gearbox,8294.2,6.27,53.71,2
Ignition Coil,173360.64,13.27,3.06,2
CVT/AT Oil,31259.07,38.9,84.23,2
Ignition Coil,67858.78,99.56,0.44,2
Ignition Coil,41547.2,91.66,1.67,2
Rear Brake Pad,4415.3,5.86,4.72,0
Front Brake Pad,54315.33,26.51,8.33,2
Rear Brake Pad,15581.29,2.58,2.22,2
Ignition Coil,112693.91,44.91,11.58,2
Rear Brake Pad,3239.08,44.9,5.32,2
Ignition Coil,117058.2,22.73,8.36,2
Spark Plug,73955.01,13.21,5.09,2
Spark Plug,34311.31,66.04,5.86,2
Gearbox Filter,25095.38,6.73,22.14,0
Gearbox Filter,66856.79,1.65,100.69,2
Ignition Coil,95831.76,97.06,11.97,2
CVT/AT Oil,5204.6,6.32,85.82,0
Spark Plug,110061.05,53.39,2.52,2
Spark Plug,42086.22,19.68,4.33,0
Spark Plug,116968.43,42.09,3.35,2
Ignition Coil,173511.62,100.52,9.15,2
Gearbox Filter,2428.65,64.74,35.5,2
Rear Brake Pad,80610.23,42.64,1.76,2
Front Brake Pad,41065.93,1.45,6.86,0
Rear Brake Pad,10189.86,45.51,2.33,2
Rear Brake Pad,86394.29,20.47,0.09,2
Rear Brake Pad,11931.25,35.63,5.18,1
Gearbox Filter,53393.35,13.63,37.93,0
Rear Brake Pad,31924.78,1.47,4.98,0
Spark Plug,47860.39,54.03,0.55,2
CVT/AT Oil,16140.84,32.32,24.2,2
Spark Plug,109952.5,27.96,4.47,2
Spark Plug,95993.78,70.63,6.99,2
Ignition Coil,45781.22,83.43,3.19,2
Spark Plug,68846.71,41.49,7.14,2
Ignition Coil,26867.14,88.5,3.31,2
Gearbox Filter,53285.79,38.89,51.86,0
Ignition Coil,118330.75,1.69,0.77,1
Spark Plug,58733.9,35.19,0.58,0
Front Brake Pad,16524.72,20.68,6.92,0
Gearbox,12950.18,1.43,1.36,2
Spark Plug,3117.88,11.0,4.7,0
CVT/AT Oil,48141.63,5.4,112.08,2
Front Brake Pad,12939.7,32.81,0.17,2
Spark Plug,46129.07,48.43,4.42,2
Rear Brake Pad,1827.94,30.36,4.19,0
Spark Plug,48721.5,70.9,5.78,2
Ignition Coil,160441.85,48.55,6.6,2
Gearbox Filter,79226.21,69.42,34.08,2
Spark Plug,25277.47,39.28,1.35,0
Ignition Coil,109318.43,0.03,9.67,2
Gearbox,8894.31,1.09,29.34,0
Gearbox,6630.91,5.66,13.21,1
CVT/AT Oil,12885.56,10.09,54.59,0
Gearbox Filter,51752.29,7.86,18.71,0
Gearbox Filter,86094.05,28.17,44.11,2
Gearbox,7260.69,4.73,63.18,2
Spark Plug,52193.46,29.23,2.77,0
Ignition Coil,52273.97,32.78,9.4,2
Front Brake Pad,1059.41,10.42,5.77,0
CVT/AT Oil,6630.08,44.79,72.33,2
Gearbox,1590.41,8.44,3.99,2
Gearbox Filter,31637.52,4.56,103.53,2
Ignition Coil,25397.6,13.6,5.43,0
Rear Brake Pad,32062.34,36.38,6.56,2
Ignition Coil,82591.44,23.36,5.93,0
Front Brake Pad,1944.09,14.93,3.9,0
Ignition Coil,126868.35,33.36,3.78,2
Front Brake Pad,46360.43,20.44,3.14,2
Ignition Coil,100966.9,24.24,6.12,0
Front Brake Pad,42953.5,23.76,2.6,2
Ignition Coil,83779.01,100.07,0.12,2
CVT/AT Oil,24569.78,9.15,90.79,0
Rear Brake Pad,75644.33,44.95,6.01,2
Rear Brake Pad,1387.35,5.79,0.83,2
Ignition Coil,122908.98,96.92,3.99,2
Spark Plug,37284.42,62.67,1.28,2
Gearbox Filter,11395.78,58.71,96.43,2
Front Brake Pad,55106.85,33.56,7.89,2
Gearbox Filter,46863.34,59.69,4.18,2
Rear Brake Pad,8480.01,17.02,7.88,0
Front Brake Pad,30916.61,27.09,7.13,2
Rear Brake Pad,83682.1,46.84,0.16,2
Rear Brake Pad,5503.16,26.42,7.32,0
CVT/AT Oil,5382.68,34.82,73.96,0
Spark Plug,86879.45,40.68,3.51,2
Spark Plug,68776.19,70.38,1.78,2
Front Brake Pad,43383.41,16.49,7.78,1
Gearbox Filter,63167.0,2.79,100.5,2
Gearbox,4157.41,7.86,34.99,2
CVT/AT Oil,8219.81,30.52,75.44,0
CVT/AT Oil,29311.1,37.88,118.37,2
Spark Plug,117714.22,46.45,6.56,2
CVT/AT Oil,31064.44,0.47,0.21,2
Front Brake Pad,21668.41,20.72,5.35,0
Gearbox Filter,80524.27,66.86,102.47,2
Gearbox,4078.32,4.59,15.79,0
Rear Brake Pad,18801.67,51.17,7.94,2
Spark Plug,91040.87,7.03,0.3,2
CVT/AT Oil,10523.32,27.71,51.05,0
CVT/AT Oil,51337.66,25.92,99.26,2
CVT/AT Oil,17981.51,15.61,95.95,0
Ignition Coil,27300.05,8.85,5.18,0
Rear Brake Pad,81119.1,29.2,6.47,2
CVT/AT Oil,12565.7,51.24,7.29,2
CVT/AT Oil,27301.96,1.51,46.31,0
Gearbox Filter,15465.11,25.79,20.26,0
Rear Brake Pad,45561.53,29.07,6.68,0
Ignition Coil,102414.61,96.47,7.64,2
Spark Plug,16735.86,41.06,5.53,2
CVT/AT Oil,4182.46,46.43,93.34,2
Gearbox,12470.86,0.36,21.23,2
Rear Brake Pad,5862.35,42.13,6.8,2
Ignition Coil,96054.41,75.14,9.29,2
Gearbox Filter,13986.1,46.78,8.83,0
Ignition Coil,85643.43,70.59,1.75,1
Front Brake Pad,13800.13,8.59,2.04,2
Gearbox Filter,50740.05,37.82,76.03,2
Rear Brake Pad,64734.17,6.83,0.44,2
Ignition Coil,6622.87,40.81,9.71,2
Gearbox Filter,56550.27,41.93,103.62,2
Front Brake Pad,8321.83,30.45,2.92,2
Rear Brake Pad,13716.62,7.46,1.19,2
Rear Brake Pad,39679.3,47.97,7.29,2
Front Brake Pad,39046.94,35.55,3.35,2
Ignition Coil,161720.2,20.57,11.79,2
CVT/AT Oil,56704.75,53.29,5.39,2
Gearbox,10810.05,3.8,76.08,2
Rear Brake Pad,69412.78,42.79,0.83,2
CVT/AT Oil,5658.76,23.12,117.99,0
Gearbox,6655.66,0.2,3.63,0
Spark Plug,94813.14,47.49,6.42,2
Front Brake Pad,11685.26,9.29,6.81,0
Rear Brake Pad,86586.78,42.1,7.87,2
CVT/AT Oil,45630.12,28.25,110.91,2
Gearbox Filter,75949.65,48.46,31.98,2
Spark Plug,22364.33,47.58,4.13,1
Gearbox Filter,13422.16,59.73,87.83,2
CVT/AT Oil,55222.58,15.55,88.27,2
CVT/AT Oil,48529.39,30.82,1.26,2
Gearbox,7561.12,4.74,83.4,2
Gearbox Filter,88516.85,17.46,67.81,2
Spark Plug,51578.12,4.54,5.92,2
Ignition Coil,47183.59,46.71,1.46,0
Rear Brake Pad,72550.06,23.64,4.99,2
Gearbox,1650.87,5.49,39.9,0
Gearbox Filter,56545.15,52.86,65.19,2
Front Brake Pad,42657.13,20.05,1.2,2
Rear Brake Pad,60476.05,5.37,3.43,2
Gearbox Filter,797.97,24.82,50.7,0
Gearbox Filter,44294.9,24.37,47.78,0
Rear Brake Pad,77278.46,49.65,3.18,2
CVT/AT Oil,26526.22,35.38,40.84,1
Ignition Coil,159539.7,26.86,10.04,2
Ignition Coil,62765.62,43.22,10.73,2
Rear Brake Pad,15137.17,7.77,4.53,0
Spark Plug,56785.8,69.93,2.79,2
Gearbox Filter,36984.76,43.35,66.67,0
Ignition Coil,138605.48,104.65,9.28,2
Rear Brake Pad,76709.09,53.62,7.35,2
Gearbox Filter,28077.44,65.23,61.44,2
Front Brake Pad,51753.86,24.15,0.45,2
Gearbox,12933.77,3.51,47.17,2
Ignition Coil,144950.18,15.06,5.02,2
Gearbox Filter,7246.49,40.45,1.43,0
Gearbox,10084.1,8.88,82.06,2
Spark Plug,100226.07,15.1,2.46,2
Front Brake Pad,23993.66,8.48,2.2,2
CVT/AT Oil,42940.43,21.1,91.93,2
Front Brake Pad,43097.26,27.06,6.76,2
Ignition Coil,162399.65,5.37,6.29,2
Spark Plug,82745.18,65.28,7.19,2
CVT/AT Oil,59405.23,17.41,101.15,2
Front Brake Pad,6981.87,8.32,3.55,0
Ignition Coil,39748.48,16.63,10.92,2
Gearbox,188.22,6.55,27.83,2
Gearbox,3130.01,4.46,31.3,0
Gearbox Filter,52412.55,33.52,73.66,2
Gearbox Filter,47132.49,70.74,6.3,2
Rear Brake Pad,69566.1,34.46,5.29,2
Spark Plug,28735.77,62.45,2.45,2
Gearbox Filter,58834.81,20.03,49.66,1
Rear Brake Pad,37496.87,19.1,4.72,0
Front Brake Pad,50930.73,6.26,5.09,2
Spark Plug,116203.17,47.24,7.38,2
Ignition Coil,73276.55,53.85,6.4,0
Front Brake Pad,27115.82,16.5,7.64,0
Rear Brake Pad,42145.97,44.69,4.06,2
Ignition Coil,62597.7,73.42,3.16,2
Spark Plug,49381.39,13.24,7.06,2
Gearbox,10490.56,3.07,38.99,2
Rear Brake Pad,88698.64,28.18,1.27,2
Ignition Coil,32324.62,21.89,1.34,0
Rear Brake Pad,37704.68,42.08,3.19,2
Front Brake Pad,12201.97,21.28,0.81,2
Gearbox,8890.51,8.38,78.84,2
CVT/AT Oil,29084.48,45.09,112.32,2
Gearbox Filter,37385.41,13.43,10.75,0
Spark Plug,30425.97,6.41,2.04,0
CVT/AT Oil,25443.13,27.57,21.79,2
Front Brake Pad,34692.74,25.51,3.52,2
Front Brake Pad,32785.79,30.16,1.98,2
Gearbox,13278.43,2.27,34.3,2
Front Brake Pad,21126.67,21.15,6.11,0
Gearbox Filter,79986.22,33.43,54.19,2
Front Brake Pad,56240.57,1.63,5.88,2
Spark Plug,105512.72,56.1,1.43,2
Gearbox Filter,28373.06,36.93,25.85,0
Rear Brake Pad,36808.79,37.76,5.75,2
Gearbox Filter,69156.95,54.57,64.88,2
Ignition Coil,171079.52,77.38,5.91,2
Gearbox Filter,74012.72,39.33,22.94,2
Rear Brake Pad,10385.12,18.71,8.09,0
Gearbox Filter,75250.15,48.82,71.88,2
Gearbox,7263.8,3.99,27.21,0
CVT/AT Oil,19812.91,28.92,16.45,2
Ignition Coil,30644.9,21.88,11.02,2
CVT/AT Oil,23411.76,26.92,105.08,0
Gearbox,9398.19,0.73,79.23,2
Gearbox Filter,16701.71,55.08,42.54,2
Rear Brake Pad,36403.22,2.27,6.14,0
CVT/AT Oil,6613.97,42.63,20.17,2
CVT/AT Oil,2917.65,36.48,94.42,2
Rear Brake Pad,74646.02,10.3,7.26,2
CVT/AT Oil,48412.28,33.74,32.32,2
Gearbox,5744.51,1.83,57.96,0
Ignition Coil,103119.59,63.11,4.44,0
Front Brake Pad,61709.09,18.22,4.89,2
Spark Plug,47895.8,58.15,7.25,2
CVT/AT Oil,3155.49,29.73,36.88,2
Ignition Coil,177855.6,47.35,0.8,2
CVT/AT Oil,11399.79,18.55,73.62,0
Ignition Coil,66981.64,65.85,3.29,0
Gearbox,8697.49,4.68,83.77,2
Front Brake Pad,37495.82,3.84,8.68,0
Spark Plug,81208.4,38.98,0.14,2
Rear Brake Pad,16933.35,5.55,3.88,0
Spark Plug,71241.01,58.03,3.21,2
Gearbox,12828.51,8.28,81.18,2
CVT/AT Oil,6334.96,53.54,29.3,2
Front Brake Pad,33188.93,31.41,2.71,2
Gearbox,11578.38,4.65,54.87,2
Spark Plug,59717.44,19.79,5.08,2
Front Brake Pad,1173.74,14.59,8.34,0
Rear Brake Pad,45680.42,29.82,6.41,0
Ignition Coil,11745.93,92.82,10.42,2
Ignition Coil,73783.98,73.4,11.74,2
Spark Plug,31817.88,1.22,3.6,0
Gearbox,14396.28,8.72,56.31,2
Spark Plug,69605.23,32.01,5.81,2
Front Brake Pad,60061.3,18.85,4.83,2
Spark Plug,54672.3,26.16,4.72,0
Rear Brake Pad,16918.55,29.21,2.03,2
Spark Plug,22402.07,29.26,5.48,2
Spark Plug,22705.08,44.42,5.85,2
Gearbox,1067.65,5.02,26.13,0
Gearbox Filter,11793.35,24.71,70.96,2
Front Brake Pad,32790.43,18.04,2.15,2
Gearbox Filter,39895.74,32.16,38.09,0
CVT/AT Oil,13144.0,26.91,98.95,0
Gearbox,4619.16,2.51,35.41,0
Gearbox,7233.24,4.36,80.15,2
Spark Plug,96450.59,32.54,3.89,2
Rear Brake Pad,24199.48,22.16,6.39,0
Front Brake Pad,28197.19,27.37,1.57,2
CVT/AT Oil,13450.34,19.39,27.64,2
Gearbox Filter,71835.37,56.64,38.27,2
Gearbox Filter,19393.71,42.75,7.06,0
Spark Plug,87584.88,53.95,1.47,2
Front Brake Pad,33897.23,23.25,1.89,2
Rear Brake Pad,52914.04,45.49,2.56,2
Front Brake Pad,21470.17,5.44,2.61,2
CVT/AT Oil,2570.24,36.49,49.76,2
CVT/AT Oil,45800.34,1.2,63.18,2
Ignition Coil,69181.03,79.75,9.29,2
CVT/AT Oil,49343.47,22.31,1.71,2
Gearbox,512.93,7.37,18.02,2
Gearbox,1105.37,8.47,44.46,2
Ignition Coil,78725.03,8.14,11.36,2
Rear Brake Pad,25284.37,30.49,0.67,2
